date,Ecuador,United States,Bolivia,Senegal,The Gambia,United Kingdom,France,Spain,Costa Rica,Chile
1990,3.5,7.2,4.7,0,6.8,4.9,4.9,6.6,8.1,7.1
1991,3.5,7.4,4.8,1.7,6.9,4.9,4.9,6.8,8.2,7.2
1992,3.5,7.5,4.7,1.7,7,4.9,4.9,6.8,8.3,7.3
1993,3.5,7.7,4.7,1.7,7.2,4.9,4.9,6.9,8.4,7.4
1994,3.6,7.9,4.8,1.8,7.3,5,4.9,6.9,8.4,7.5
1995,3.6,8.1,4.8,1.8,7.4,5.1,4.9,7,8.4,7.6
1996,3.6,8.5,4.9,1.8,7.5,5.3,4.9,7.1,8.4,7.7
1997,3.7,9.1,4.9,1.8,7.4,5.5,4.9,7.3,8.5,8
1998,3.6,9.8,4.8,1.8,7,5.7,5,7.5,8.6,8.4
1999,3.6,10.5,4.8,1.8,6.6,5.9,5,7.7,8.7,8.8
2000,3.6,11.3,4.7,1.8,6.2,6.1,5,7.8,8.8,9.2
2001,3.6,11.9,4.7,1.8,5.7,6.3,5,7.9,8.9,9.5
2002,3.6,12.4,4.6,1.8,5.2,6.5,5,8,8.9,9.8
2003,3.6,12.7,4.6,1.8,4.8,6.6,5,8.1,8.9,10.1
2004,3.6,12.8,4.5,1.8,4.5,6.8,4.9,8.1,8.9,10.4
2005,3.6,12.8,4.5,1.8,4.5,6.9,4.9,8.2,9,10.7
2006,3.6,12.7,4.5,1.8,4.5,7,4.9,8.2,9.1,10.7
2007,3.7,12.7,4.5,1.8,4.5,7.2,4.9,8.1,9.1,11.2
2008,3.7,12.6,4.5,1.8,4.5,7.3,4.9,8.1,9.2,11.5
2009,3.7,12.6,4.5,1.8,4.6,7.5,5,8,9.2,11.6
2010,3.7,12.7,4.5,1.8,4.7,7.6,5,8,9.3,11.8
2011,3.8,12.7,4.5,1.8,4.8,7.7,5.1,8,9.4,11.9
2012,3.8,12.8,4.6,1.8,4.9,7.7,5.2,8,9.4,12
2013,3.8,12.9,4.6,1.8,4.9,7.7,5.2,8,9.5,12.1
